garage_id,part_description,mapped_part_code,mapped_part_name,mapping_confidence,part_category,error_type,mapping_timestamp,is_error,mapping_source,processing_time
G0000,Front Light,P084,Headlight Left,88.25474062119677,Lighting,,2025-01-02 10:41:47.823200,False,AI Model,2.9313332950975157
G0001,Fender Left,P028,Fender Left,91.48411704312672,Exterior,,2024-11-17 05:40:47.823200,False,AI Model,0.691602423131147
G0002,Fender Right,P029,Fender Right,98.87985623477041,Exterior,,2025-02-01 01:15:47.823200,False,AI Model,3.726476884995299
G0003,Fender Left,P088,Fender Left,84.1732664902197,Exterior,,2024-12-07 22:19:47.823200,False,AI Model,1.8453649125972267
G0004,Door Front Right,P047,Door Front Right,84.83771295483396,Body,,2025-01-30 23:55:47.823200,True,AI Model,2.2401860294180524
G0005,Front Hood,P052,Hood,77.10935401769241,Body,,2025-01-25 15:09:47.823200,False,AI Model,2.556762756901661
G0006,Door Front Left,P026,Door Front Left,89.24223764770852,Body,,2025-01-26 23:14:47.823200,False,AI Model,1.2730360314720417
G0007,R Bumper,,,31.39531859352574,Exterior,Incorrect Naming,2024-12-19 01:29:47.823200,True,AI Model,0.8586214731720666
G0008,Fender Left,P028,Fender Left,81.10350441444595,Exterior,,2025-02-15 07:53:47.823200,False,AI Model,0.6347443161034336
G0009,Windscreen,P003,Windshield,79.38530661776942,Glass,,2024-12-15 18:02:47.823200,False,AI Model,4.581680023106545
G0010,Door Front Right,P027,Door Front Right,95.45800530765024,Body,,2025-02-07 10:54:47.823200,False,AI Model,2.462845267085317
G0011,Front Window,P023,Windshield,50.49361276172428,Glass,Incorrect Naming,2024-12-23 12:04:47.823200,True,AI Model,0.7902152550594188
G0012,Fender Left,P008,Fender Left,88.25600670284528,Exterior,,2024-11-25 10:50:47.823200,False,AI Model,3.205405631943838
G0013,Door Front Right,P057,Door Front Right,98.37189384614732,Body,,2025-01-31 22:21:47.823200,False,AI Model,1.563169189830613
G0014,Front Windshield,P053,Windshield,87.99854420465078,Glass,,2024-12-06 22:06:47.823200,False,AI Model,0.8190919066293261
G0015,Rear Bumper Assembly,P021,Rear Bumper,82.93555460732246,Exterior,,2025-01-09 16:50:47.823200,False,AI Model,2.769560832817545
G0016,Door Front Right,P017,Door Front Right,92.70095425322745,Body,,2025-01-04 17:04:47.823200,False,AI Model,3.2506770785611208
G0017,Door Front Left,P086,Door Front Left,87.55268937106244,Body,,2025-01-17 23:26:47.823200,False,AI Model,4.482499777781307
G0018,Head Lamp,P064,Headlight Left,76.20242216234938,Lighting,,2024-12-13 03:46:47.823200,False,AI Model,3.632558610269407
